Area,Location_Score,Square_Feet,Num_Bedrooms,Building_Age,Owner_Name,Street_Address,Price_BDT
Chawkbazar,2.2,1884,3,1,রাসেল হক,"৬৯, উত্তর বদরগড় স্ট্যান্ড, Chawkbazar, Cumilla",7352594.32
Chawkbazar,2.2,1480,2,22,সাবের মৃধা,"৪, নতুন অভয়লেন, Chawkbazar, Cumilla",5733277.67
Race Course,3.2,1434,2,15,অভিষেক আবদুল্লাহ,"৩০৩, মোহনহাট, Race Course, Cumilla",6448018.8
Race Course,3.2,2349,4,5,অলোকা তালুকদার,"১৭৭, শরণমহাসড়ক, Race Course, Cumilla",10340112.52
Shashongacha,2.0,1639,2,17,আব্বাস সিনহা,"২, দক্ষিণ নড়িয়ালেন, Shashongacha, Cumilla",4602630.22
Kandirpar,4.0,1441,2,17,কবিতা রাও,"৫, পুরাতন শাজাহানদিয়া, Kandirpar, Cumilla",6588513.27
Race Course,3.2,1831,3,17,অন্তরা বর্মন,"৫২, নন্দীপ্লাজা, Race Course, Cumilla",7883832.15
Kotbari,2.5,2152,3,17,প্রিয়াঙ্কা পাণ্ডে,"৩৪, পুরাতন মধুচত্বর, Kotbari, Cumilla",8493389.32
Police Line,3.1,1349,2,20,মুনতাকিম সরকার,"৩, কমলদিয়া এভিনিউ, Police Line, Cumilla",5480463.1
Dharmapur,1.8,2141,3,24,ইজাজ চৌধুরী,"৪২, নতুন হোসেনরাস্তা, Dharmapur, Cumilla",7327195.61
Shashongacha,2.0,1048,2,7,অদিতি মোড়ল,"২৭৬, নতুন কবিরহাট গলি, Shashongacha, Cumilla",4307263.79
Police Line,3.1,1431,2,20,প্রদীপ মন্ডল,"৭১, উত্তর মানিকলেন, Police Line, Cumilla",5611361.15
Dharmapur,1.8,1800,3,16,আরিয়ান উদ্দিন,"২, পশ্চিম দেবগাঁ লেন, Dharmapur, Cumilla",7292530.64
Chawkbazar,2.2,1616,2,8,আজাদ মৃধা,"৭, দক্ষিণ আনোয়ারহাট, Chawkbazar, Cumilla",6276681.44
Race Course,3.2,1525,2,14,তামিম তালুকদার,"৯৫৯, জগন্নাথমোড়, Race Course, Cumilla",6944919.22
Dharmapur,1.8,2087,3,19,নয়ন সরকার,"৬, পূর্ব দাউদচর, Dharmapur, Cumilla",6508296.05
Kotbari,2.5,1332,2,11,সৌম্য বিশ্বাস,"৪, পুরাতন বদরগড় মহাসড়ক, Kotbari, Cumilla",6419747.89
Dharmapur,1.8,2238,4,19,ইমন মজুমদার,"৫৬, দক্ষিণ বোরহানগ্রাম সেন্টার, Dharmapur, Cumilla",7838212.17
Chawkbazar,2.2,1075,2,23,কাবেরি প্রামানিক,"৮১০, দক্ষিণ সোনাপাড়া, Chawkbazar, Cumilla",4672607.44
Bagichagaon,3.5,1862,3,14,মোস্তাফিজ বিশ্বাস,"১৩১, মিরচর প্লাজা, Bagichagaon, Cumilla",8422895.1
Kandirpar,4.0,2003,3,4,কবিতা বিশ্বাস,"২, বটিয়াবাজার, Kandirpar, Cumilla",8942941.34
Kotbari,2.5,1099,2,15,রাহুল রহমান,"১৮, রায়গ্রাম প্লাজা, Kotbari, Cumilla",4637773.26
Kotbari,2.5,1748,3,8,শাহজাহান হক,"৩৪৪, সোনামোড়, Kotbari, Cumilla",7354278.08
